run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,1.0,accuracy_mean,0.45,0.45,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,1.0,pedagogical_score_mean,4.92,4.92,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,1.0,silent_error_rate,0.22,0.22,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,2.0,accuracy_mean,0.43,0.43,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,2.0,pedagogical_score_mean,5.2,5.2,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,2.0,silent_error_rate,0.2,0.2,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,0.0,sample_count,94.0,94.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,0.0,accuracy_mean,0.4148936170212766,0.4148936170212766,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,0.0,pedagogical_score_mean,4.946808510638298,4.946808510638298,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,0.0,silent_error_rate,0.2446808510638297,0.24468085106382978,8.326672684688674e-17,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
